Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,home,game_id
José Sá,1.0,pt POR,GK,31-318,90,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,Wolves_Bournemouth_20241130
Evanilson,9.0,br BRA,FW,25-055,76,2,2,0,2,0,1,100.0,0,1,0,1,0,2,0,0,False,Wolves_Bournemouth_20241130
Enes Ünal,26.0,tr TUR,FW,27-204,14,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,Wolves_Bournemouth_20241130
Marcus Tavernier,16.0,eng ENG,LW,25-253,90,6,4,2,1,3,3,66.7,1,1,0,1,0,6,3,0,False,Wolves_Bournemouth_20241130
David Brooks,7.0,wls WAL,RW,27-145,63,2,0,0,2,0,1,0.0,1,2,0,2,1,3,0,0,False,Wolves_Bournemouth_20241130
Dango Ouattara,11.0,bf BFA,RW,22-293,27,1,1,0,1,0,2,50.0,1,1,0,1,0,1,0,0,False,Wolves_Bournemouth_20241130
Justin Kluivert,19.0,nl NED,AM,25-209,76,2,0,0,2,0,0,,0,2,0,2,0,2,0,0,False,Wolves_Bournemouth_20241130
Philip Billing,29.0,dk DEN,AM,28-172,14,3,0,1,2,0,0,,0,0,0,0,0,3,0,0,False,Wolves_Bournemouth_20241130
Ryan Christie,10.0,sct SCO,DM,29-282,90,2,1,1,1,0,3,66.7,1,1,0,1,0,2,2,0,False,Wolves_Bournemouth_20241130
Tyler Adams,12.0,us USA,DM,25-290,90,3,2,2,1,0,5,60.0,2,0,0,0,5,8,6,0,False,Wolves_Bournemouth_20241130
Milos Kerkez,3.0,hu HUN,LB,21-023,90,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,False,Wolves_Bournemouth_20241130
Marcos Senesi,5.0,ar ARG,CB,27-204,81,2,2,2,0,0,4,50.0,2,1,1,0,1,3,3,0,False,Wolves_Bournemouth_20241130
Dean Huijsen,2.0,es ESP,CB,19-230,9,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,False,Wolves_Bournemouth_20241130
Illia Zabarnyi,27.0,ua UKR,CB,22-090,90,3,2,2,1,0,3,100.0,0,0,0,0,0,3,3,0,False,Wolves_Bournemouth_20241130
Adam Smith,15.0,eng ENG,RB,33-215,90,0,0,0,0,0,1,0.0,1,2,1,1,0,0,4,0,False,Wolves_Bournemouth_20241130
Kepa Arrizabalaga,13.0,es ESP,GK,30-058,90,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,Wolves_Bournemouth_20241130
Chris Wood,11.0,nz NZL,FW,32-359,90,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,True,Nott'hamForest_IpswichTown_20241130
Callum Hudson-Odoi,14.0,eng ENG,LW,24-023,87,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,Nott'hamForest_IpswichTown_20241130
Ramón Sosa,24.0,py PAR,LW,25-091,3,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,True,Nott'hamForest_IpswichTown_20241130
Jota Silva,20.0,pt POR,RW,25-121,77,0,0,0,0,0,2,0.0,2,0,0,0,1,1,2,0,True,Nott'hamForest_IpswichTown_20241130
Anthony Elanga,21.0,se SWE,RW,22-217,13,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,Nott'hamForest_IpswichTown_20241130
Morgan Gibbs-White,10.0,eng ENG,AM,24-308,77,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,True,Nott'hamForest_IpswichTown_20241130
Morato,4.0,br BRA,CB,23-153,13,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,True,Nott'hamForest_IpswichTown_20241130
Ryan Yates,22.0,eng ENG,"DM,CM",27-009,90,2,2,1,0,1,2,50.0,1,2,0,2,2,4,1,0,True,Nott'hamForest_IpswichTown_20241130
Elliot Anderson,8.0,eng ENG,DM,22-024,70,3,2,1,2,0,3,33.3,2,0,0,0,1,4,0,0,True,Nott'hamForest_IpswichTown_20241130
Nicolás Domínguez,16.0,ar ARG,"CM,DM",26-155,20,2,0,1,1,0,2,50.0,1,2,0,2,1,3,0,0,True,Nott'hamForest_IpswichTown_20241130
Neco Williams,7.0,wls WAL,LB,23-231,77,3,1,3,0,0,2,100.0,0,1,0,1,0,3,1,0,True,Nott'hamForest_IpswichTown_20241130
Álex Moreno,19.0,es ESP,"LM,LB",31-175,13,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,True,Nott'hamForest_IpswichTown_20241130
Murillo,5.0,br BRA,CB,22-149,90,3,2,3,0,0,1,100.0,0,3,1,2,0,3,8,0,True,Nott'hamForest_IpswichTown_20241130
Nikola Milenković,31.0,rs SRB,CB,27-049,90,3,2,2,1,0,1,100.0,0,0,0,0,1,4,3,0,True,Nott'hamForest_IpswichTown_20241130
Ola Aina,34.0,ng NGA,"RB,RM",28-053,90,4,3,4,0,0,4,75.0,1,4,1,3,2,6,3,0,True,Nott'hamForest_IpswichTown_20241130
Matz Sels,26.0,be BEL,GK,32-278,90,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,Nott'hamForest_IpswichTown_20241130
Liam Delap,19.0,eng ENG,FW,21-296,90,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,False,Nott'hamForest_IpswichTown_20241130
Sammie Szmodics,23.0,ie IRL,LW,29-067,63,1,1,0,1,0,2,50.0,1,0,0,0,0,1,1,0,False,Nott'hamForest_IpswichTown_20241130
Jack Clarke,47.0,eng ENG,LW,24-007,27,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,False,Nott'hamForest_IpswichTown_20241130
Omari Hutchinson,20.0,eng ENG,"RW,AM",21-031,78,2,1,2,0,0,2,50.0,1,0,0,0,1,3,0,0,False,Nott'hamForest_IpswichTown_20241130
Nathan Broadhead,33.0,wls WAL,AM,26-239,12,1,1,0,1,0,0,,0,0,0,0,0,1,0,0,False,Nott'hamForest_IpswichTown_20241130
Conor Chaplin,10.0,eng ENG,AM,27-288,73,2,1,0,2,0,1,100.0,0,2,0,2,0,2,0,0,False,Nott'hamForest_IpswichTown_20241130
Wes Burns,7.0,wls WAL,RW,30-007,17,1,1,0,1,0,1,100.0,0,0,0,0,0,1,0,0,False,Nott'hamForest_IpswichTown_20241130
Jens Cajuste,12.0,se SWE,DM,25-112,73,3,1,3,0,0,7,42.9,4,0,0,0,0,3,0,0,False,Nott'hamForest_IpswichTown_20241130
Jack Taylor,14.0,ie IRL,DM,26-160,17,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,False,Nott'hamForest_IpswichTown_20241130
Sam Morsy,5.0,eg EGY,DM,33-081,90,1,1,1,0,0,1,0.0,1,0,0,0,2,3,2,0,False,Nott'hamForest_IpswichTown_20241130
Leif Davis,3.0,eng ENG,LB,24-323,90,1,1,0,0,1,0,,0,0,0,0,0,1,4,0,False,Nott'hamForest_IpswichTown_20241130
Cameron Burgess,15.0,au AUS,CB,29-040,90,1,0,1,0,0,0,,0,0,0,0,0,1,4,0,False,Nott'hamForest_IpswichTown_20241130
Dara O'Shea,26.0,ie IRL,CB,25-271,90,1,1,1,0,0,0,,0,1,1,0,0,1,4,0,False,Nott'hamForest_IpswichTown_20241130
Axel Tuanzebe,40.0,cd COD,RB,27-016,78,2,1,2,0,0,2,100.0,0,0,0,0,0,2,3,0,False,Nott'hamForest_IpswichTown_20241130
Harry Clarke,2.0,eng ENG,RB,23-273,12,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,False,Nott'hamForest_IpswichTown_20241130
Arijanet Muric,1.0,xk KVX,GK,26-023,90,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,False,Nott'hamForest_IpswichTown_20241130
Yoane Wissa,11.0,cd COD,FW,28-088,90,0,0,0,0,0,0,,0,2,1,1,0,0,0,0,True,Brentford_LeicesterCity_20241130
Kevin Schade,7.0,de GER,LW,23-003,69,2,1,2,0,0,3,66.7,1,1,0,1,1,3,2,0,True,Brentford_LeicesterCity_20241130
Thiago,9.0,br BRA,LW,23-157,21,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,True,Brentford_LeicesterCity_20241130
Bryan Mbeumo,19.0,cm CMR,RW,25-115,90,0,0,0,0,0,1,0.0,1,1,0,1,0,0,5,0,True,Brentford_LeicesterCity_20241130
Mikkel Damsgaard,24.0,dk DEN,AM,24-150,69,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,True,Brentford_LeicesterCity_20241130
Fabio Carvalho,14.0,pt POR,AM,22-092,21,2,1,0,1,1,1,100.0,0,0,0,0,1,3,0,0,True,Brentford_LeicesterCity_20241130
Mathias Jensen,8.0,dk DEN,DM,28-334,41,1,0,1,0,0,1,100.0,0,0,0,0,1,2,0,0,True,Brentford_LeicesterCity_20241130
Vitaly Janelt,27.0,de GER,DM,26-204,49,2,0,0,2,0,2,100.0,0,2,1,1,0,2,1,0,True,Brentford_LeicesterCity_20241130
Christian Nørgaard,6.0,dk DEN,DM,30-265,69,6,4,1,4,1,5,100.0,0,0,0,0,1,7,2,0,True,Brentford_LeicesterCity_20241130
Yehor Yarmoliuk,18.0,ua UKR,DM,20-274,21,1,1,0,0,1,2,0.0,2,1,0,1,1,2,0,0,True,Brentford_LeicesterCity_20241130
Keane Lewis-Potter,23.0,eng ENG,LB,23-282,90,0,0,0,0,0,1,0.0,1,1,0,1,0,0,3,0,True,Brentford_LeicesterCity_20241130
Ethan Pinnock,5.0,jm JAM,CB,31-185,90,3,1,1,2,0,4,50.0,2,1,1,0,0,3,7,1,True,Brentford_LeicesterCity_20241130
Nathan Collins,22.0,ie IRL,CB,23-214,90,2,0,1,1,0,1,100.0,0,0,0,0,1,3,6,0,True,Brentford_LeicesterCity_20241130
Sepp van den Berg,4.0,nl NED,RB,22-346,82,1,0,0,1,0,1,100.0,0,1,0,1,1,2,1,0,True,Brentford_LeicesterCity_20241130
Mads Roerslev,30.0,dk DEN,RB,25-159,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,Brentford_LeicesterCity_20241130
Mark Flekken,1.0,nl NED,GK,31-170,90,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,True,Brentford_LeicesterCity_20241130
Jamie Vardy,9.0,eng ENG,FW,37-324,63,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,False,Brentford_LeicesterCity_20241130
Patson Daka,20.0,zm ZAM,FW,26-052,27,1,0,0,0,1,3,33.3,2,0,0,0,0,1,0,0,False,Brentford_LeicesterCity_20241130
Jordan Ayew,18.0,gh GHA,AM,33-080,79,0,0,0,0,0,0,,0,0,0,0,2,2,1,0,False,Brentford_LeicesterCity_20241130
Bobby De Cordova-Reid,14.0,jm JAM,AM,31-302,11,1,0,0,1,0,1,100.0,0,0,0,0,0,1,0,0,False,Brentford_LeicesterCity_20241130
Facundo Buonanotte,40.0,ar ARG,AM,19-343,63,1,1,1,0,0,4,0.0,4,0,0,0,2,3,0,0,False,Brentford_LeicesterCity_20241130
Stephy Mavididi,10.0,eng ENG,AM,26-183,27,1,1,1,0,0,2,50.0,1,0,0,0,0,1,0,0,False,Brentford_LeicesterCity_20241130
Wilfred Ndidi,6.0,ng NGA,CM,27-350,90,2,1,1,1,0,3,0.0,3,4,1,3,0,2,2,0,False,Brentford_LeicesterCity_20241130
Boubakary Soumaré,24.0,fr FRA,CM,25-277,63,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,Brentford_LeicesterCity_20241130
Oliver Skipp,22.0,eng ENG,CM,24-075,27,1,0,1,0,0,1,100.0,0,0,0,0,2,3,1,0,False,Brentford_LeicesterCity_20241130
Luke Thomas,33.0,eng ENG,WB,23-173,90,2,2,2,0,0,2,50.0,1,3,0,3,0,2,0,0,False,Brentford_LeicesterCity_20241130
James Justin,2.0,eng ENG,WB,26-281,90,3,3,3,0,0,3,33.3,2,0,0,0,1,4,1,0,False,Brentford_LeicesterCity_20241130
Caleb Okoli,5.0,it ITA,CB,23-140,34,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,False,Brentford_LeicesterCity_20241130
Jannik Vestergaard,23.0,dk DEN,CB,32-119,56,2,0,2,0,0,1,100.0,0,0,0,0,1,3,4,0,False,Brentford_LeicesterCity_20241130
Conor Coady,4.0,eng ENG,CB,31-279,90,1,1,1,0,0,0,,0,2,2,0,0,1,7,0,False,Brentford_LeicesterCity_20241130
Wout Faes,3.0,be BEL,CB,26-241,90,0,0,0,0,0,2,0.0,2,1,0,1,1,1,7,0,False,Brentford_LeicesterCity_20241130
Mads Hermansen,30.0,dk DEN,GK,24-142,90,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,Brentford_LeicesterCity_20241130
Jean-Philippe Mateta,14.0,fr FRA,FW,27-155,90,1,1,0,1,0,1,0.0,1,0,0,0,1,2,4,0,True,CrystalPalace_NewcastleUtd_20241130
Eberechi Eze,10.0,eng ENG,AM,26-154,64,0,0,0,0,0,1,0.0,1,0,0,0,2,2,0,0,True,CrystalPalace_NewcastleUtd_20241130
Justin Devenny,55.0,nir NIR,"DM,AM,CM",21-050,26,2,2,1,1,0,3,66.7,1,0,0,0,0,2,0,0,True,CrystalPalace_NewcastleUtd_20241130
Ismaila Sarr,7.0,sn SEN,AM,26-279,90,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,True,CrystalPalace_NewcastleUtd_20241130
Jefferson Lerma,8.0,co COL,"CM,DM",30-036,90,3,1,1,2,0,1,100.0,0,1,1,0,4,7,4,0,True,CrystalPalace_NewcastleUtd_20241130
Will Hughes,19.0,eng ENG,CM,29-227,76,4,0,0,3,1,2,100.0,0,0,0,0,0,4,0,0,True,CrystalPalace_NewcastleUtd_20241130
Eddie Nketiah,9.0,eng ENG,"LW,AM",25-184,14,2,2,2,0,0,1,100.0,0,0,0,0,0,2,0,0,True,CrystalPalace_NewcastleUtd_20241130
Tyrick Mitchell,3.0,eng ENG,"WB,LB",25-090,90,1,1,1,0,0,2,0.0,2,4,0,4,0,1,1,0,True,CrystalPalace_NewcastleUtd_20241130
Daniel Muñoz,12.0,co COL,"WB,RB",28-188,90,11,6,2,6,3,7,100.0,0,0,0,0,1,12,3,0,True,CrystalPalace_NewcastleUtd_20241130
Marc Guéhi,6.0,eng ENG,CB,24-140,90,2,1,1,1,0,1,100.0,0,0,0,0,1,3,1,0,True,CrystalPalace_NewcastleUtd_20241130
Maxence Lacroix,5.0,fr FRA,CB,24-238,90,3,2,1,2,0,1,100.0,0,1,0,1,4,7,5,0,True,CrystalPalace_NewcastleUtd_20241130
Trevoh Chalobah,27.0,eng ENG,CB,25-148,83,1,1,1,0,0,1,100.0,0,1,0,1,0,1,4,0,True,CrystalPalace_NewcastleUtd_20241130
Jeffrey Schlupp,15.0,gh GHA,RW,31-343,7,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,CrystalPalace_NewcastleUtd_20241130
Dean Henderson,1.0,eng ENG,GK,27-263,90,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,True,CrystalPalace_NewcastleUtd_20241130
Alexander Isak,14.0,se SWE,FW,25-070,21,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,CrystalPalace_NewcastleUtd_20241130
Harvey Barnes,11.0,eng ENG,RW,26-357,69,1,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0,False,CrystalPalace_NewcastleUtd_20241130
Joelinton,7.0,br BRA,LW,28-108,90,0,0,0,0,0,0,,0,2,0,2,1,1,5,0,False,CrystalPalace_NewcastleUtd_20241130
Anthony Gordon,10.0,eng ENG,"FW,RW",23-280,74,2,1,0,2,0,1,0.0,1,2,0,2,1,3,0,0,False,CrystalPalace_NewcastleUtd_20241130
Callum Wilson,9.0,eng ENG,FW,32-277,16,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,CrystalPalace_NewcastleUtd_20241130
Joe Willock,28.0,eng ENG,LM,25-102,74,1,1,0,1,0,3,33.3,2,1,0,1,0,1,1,0,False,CrystalPalace_NewcastleUtd_20241130
Sean Longstaff,36.0,eng ENG,LM,27-031,16,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,CrystalPalace_NewcastleUtd_20241130
Bruno Guimarães,39.0,br BRA,CM,27-014,90,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,False,CrystalPalace_NewcastleUtd_20241130
Sandro Tonali,8.0,it ITA,RM,24-206,90,3,2,2,1,0,1,100.0,0,2,1,1,1,4,3,0,False,CrystalPalace_NewcastleUtd_20241130
Lewis Hall,20.0,eng ENG,LB,20-083,90,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,1,False,CrystalPalace_NewcastleUtd_20241130
Dan Burn,33.0,eng ENG,CB,32-205,90,3,3,1,2,0,0,,0,1,1,0,1,4,6,0,False,CrystalPalace_NewcastleUtd_20241130
Fabian Schär,5.0,ch SUI,CB,32-346,90,1,1,1,0,0,0,,0,3,3,0,2,3,5,0,False,CrystalPalace_NewcastleUtd_20241130
Valentino Livramento,21.0,eng ENG,RB,22-018,90,1,1,1,0,0,3,33.3,2,1,0,1,2,3,6,0,False,CrystalPalace_NewcastleUtd_20241130
Nick Pope,22.0,eng ENG,GK,32-225,90,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,False,CrystalPalace_NewcastleUtd_20241130
Michail Antonio,9.0,jm JAM,FW,34-247,64,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,True,WestHam_Arsenal_20241130
Danny Ings,18.0,eng ENG,FW,32-130,26,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,True,WestHam_Arsenal_20241130
Crysencio Summerville,7.0,nl NED,LW,23-031,45,3,2,1,2,0,1,100.0,0,1,1,0,0,3,0,0,True,WestHam_Arsenal_20241130
Edson Álvarez,19.0,mx MEX,DM,27-037,45,2,1,1,1,0,1,100.0,0,0,0,0,1,3,0,0,True,WestHam_Arsenal_20241130
Jarrod Bowen,20.0,eng ENG,RW,27-346,90,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,True,WestHam_Arsenal_20241130
Carlos Soler,4.0,es ESP,AM,27-333,77,1,1,0,1,0,2,50.0,1,2,0,2,0,1,1,0,True,WestHam_Arsenal_20241130
Andy Irving,39.0,sct SCO,AM,24-201,13,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,WestHam_Arsenal_20241130
Lucas Paquetá,10.0,br BRA,"DM,LW",27-095,77,2,1,1,1,0,3,33.3,2,1,0,1,0,2,5,0,True,WestHam_Arsenal_20241130
Guido Rodríguez,24.0,ar ARG,LW,30-232,13,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,WestHam_Arsenal_20241130
Tomáš Souček,28.0,cz CZE,DM,29-277,90,2,1,0,2,0,0,,0,0,0,0,1,3,3,0,True,WestHam_Arsenal_20241130
Emerson Palmieri,33.0,it ITA,LB,30-119,64,2,2,1,1,0,1,0.0,1,3,1,2,0,2,0,0,True,WestHam_Arsenal_20241130
Vladimír Coufal,5.0,cz CZE,RB,32-100,26,2,1,1,1,0,1,100.0,0,0,0,0,0,2,0,0,True,WestHam_Arsenal_20241130
Max Kilman,26.0,eng ENG,CB,27-191,90,2,1,1,1,0,1,100.0,0,3,1,2,2,4,3,1,True,WestHam_Arsenal_20241130
Jean-Clair Todibo,25.0,fr FRA,CB,24-336,90,2,2,0,2,0,1,100.0,0,3,1,2,0,2,3,0,True,WestHam_Arsenal_20241130
Aaron Wan-Bissaka,29.0,cd COD,"RB,LB",27-004,90,4,4,1,3,0,2,50.0,1,3,0,3,1,5,3,0,True,WestHam_Arsenal_20241130
Łukasz Fabiański,1.0,pl POL,GK,39-226,90,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,WestHam_Arsenal_20241130
Kai Havertz,29.0,de GER,"FW,RM",25-172,90,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,WestHam_Arsenal_20241130
Leandro Trossard,19.0,be BEL,LW,29-362,84,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,False,WestHam_Arsenal_20241130
Ethan Nwaneri,53.0,eng ENG,RM,17-254,6,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,False,WestHam_Arsenal_20241130
Bukayo Saka,7.0,eng ENG,RW,23-086,73,1,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0,False,WestHam_Arsenal_20241130
Raheem Sterling,30.0,eng ENG,"LM,RW",29-358,17,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,False,WestHam_Arsenal_20241130
Declan Rice,41.0,eng ENG,"LM,CM",25-321,90,3,1,2,1,0,1,100.0,0,0,0,0,0,3,1,0,False,WestHam_Arsenal_20241130
Jorginho,20.0,it ITA,CM,32-346,90,3,2,1,2,0,3,100.0,0,0,0,0,3,6,1,0,False,WestHam_Arsenal_20241130
Martin Ødegaard,8.0,no NOR,RM,25-349,73,2,1,2,0,0,1,0.0,1,0,0,0,0,2,0,0,False,WestHam_Arsenal_20241130
Gabriel Jesus,9.0,br BRA,FW,27-241,17,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,False,WestHam_Arsenal_20241130
Riccardo Calafiori,33.0,it ITA,LB,22-195,55,1,0,1,0,0,1,100.0,0,1,1,0,0,1,2,0,False,WestHam_Arsenal_20241130
Oleksandr Zinchenko,17.0,ua UKR,LB,27-351,35,1,0,1,0,0,0,,0,1,0,1,0,1,1,0,False,WestHam_Arsenal_20241130
Gabriel Magalhães,6.0,br BRA,CB,26-347,45,0,0,0,0,0,0,,0,1,1,0,1,1,1,0,False,WestHam_Arsenal_20241130
Jakub Kiwior,15.0,pl POL,CB,24-289,45,2,0,2,0,0,2,100.0,0,1,1,0,0,2,1,0,False,WestHam_Arsenal_20241130
William Saliba,2.0,fr FRA,CB,23-251,90,3,1,3,0,0,1,100.0,0,1,1,0,1,4,4,1,False,WestHam_Arsenal_20241130
Jurriën Timber,12.0,nl NED,RB,23-166,90,1,1,0,1,0,0,,0,0,0,0,0,1,2,0,False,WestHam_Arsenal_20241130
David Raya,22.0,es ESP,GK,29-076,90,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,False,WestHam_Arsenal_20241130
Joshua Zirkzee,11.0,nl NED,FW,23-193,90,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,True,ManchesterUtd_Everton_20241201
Bruno Fernandes,8.0,pt POR,AM,30-084,65,1,0,0,1,0,1,0.0,1,1,0,1,1,2,0,0,True,ManchesterUtd_Everton_20241201
Manuel Ugarte,25.0,uy URU,CM,23-234,25,1,0,0,1,0,3,33.3,2,0,0,0,0,1,0,0,True,ManchesterUtd_Everton_20241201
Marcus Rashford,10.0,eng ENG,AM,27-031,90,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,True,ManchesterUtd_Everton_20241201
Casemiro,18.0,br BRA,CM,32-282,65,3,2,3,0,0,3,100.0,0,3,2,1,2,5,0,0,True,ManchesterUtd_Everton_20241201
Alejandro Garnacho,17.0,ar ARG,AM,20-153,25,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,ManchesterUtd_Everton_20241201
Kobbie Mainoo,37.0,eng ENG,CM,19-226,79,0,0,0,0,0,0,,0,1,1,0,1,1,1,0,True,ManchesterUtd_Everton_20241201
Mason Mount,7.0,eng ENG,CM,25-326,11,1,1,1,0,0,2,50.0,1,0,0,0,0,1,0,0,True,ManchesterUtd_Everton_20241201
Diogo Dalot,20.0,pt POR,WB,25-258,90,3,2,2,1,0,0,,0,0,0,0,2,5,2,0,True,ManchesterUtd_Everton_20241201
Amad Diallo,16.0,ci CIV,WB,22-143,90,4,4,0,2,2,3,33.3,2,0,0,0,0,4,2,0,True,ManchesterUtd_Everton_20241201
Lisandro Martínez,6.0,ar ARG,CB,26-318,90,0,0,0,0,0,1,0.0,1,0,0,0,2,2,5,0,True,ManchesterUtd_Everton_20241201
Matthijs de Ligt,4.0,nl NED,CB,25-111,55,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,True,ManchesterUtd_Everton_20241201
Harry Maguire,5.0,eng ENG,CB,31-271,35,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,ManchesterUtd_Everton_20241201
Noussair Mazraoui,3.0,ma MAR,CB,27-017,55,1,1,1,0,0,2,50.0,1,0,0,0,1,2,1,0,True,ManchesterUtd_Everton_20241201
Luke Shaw,23.0,eng ENG,CB,29-142,35,1,1,1,0,0,1,100.0,0,0,0,0,0,1,1,0,True,ManchesterUtd_Everton_20241201
André Onana,24.0,cm CMR,GK,28-243,90,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,True,ManchesterUtd_Everton_20241201
Beto,14.0,gw GNB,FW,26-305,66,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,False,ManchesterUtd_Everton_20241201
Dominic Calvert-Lewin,9.0,eng ENG,FW,27-260,24,1,1,0,1,0,0,,0,0,0,0,0,1,0,0,False,ManchesterUtd_Everton_20241201
Iliman Ndiaye,10.0,sn SEN,LW,24-270,90,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,False,ManchesterUtd_Everton_20241201
Jesper Lindstrøm,29.0,dk DEN,RW,24-276,66,1,1,0,1,0,4,25.0,3,1,1,0,0,1,0,0,False,ManchesterUtd_Everton_20241201
Jack Harrison,11.0,eng ENG,RW,28-011,24,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,ManchesterUtd_Everton_20241201
Dwight McNeil,7.0,eng ENG,AM,25-009,90,2,2,0,0,2,3,66.7,1,2,0,2,0,2,0,1,False,ManchesterUtd_Everton_20241201
Idrissa Gana Gueye,27.0,sn SEN,DM,35-066,66,3,1,2,1,0,2,50.0,1,4,0,4,1,4,0,0,False,ManchesterUtd_Everton_20241201
Orel Mangala,8.0,be BEL,DM,26-258,24,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,False,ManchesterUtd_Everton_20241201
Abdoulaye Doucouré,16.0,ml MLI,DM,31-335,90,1,0,0,0,1,2,50.0,1,2,0,2,1,2,0,0,False,ManchesterUtd_Everton_20241201
Vitaliy Mykolenko,19.0,ua UKR,LB,25-186,90,0,0,0,0,0,1,0.0,1,1,1,0,1,1,0,0,False,ManchesterUtd_Everton_20241201
Jarrad Branthwaite,32.0,eng ENG,CB,22-157,90,2,1,1,1,0,0,,0,0,0,0,0,2,1,1,False,ManchesterUtd_Everton_20241201
James Tarkowski,6.0,eng ENG,CB,32-012,81,4,3,1,3,0,2,100.0,0,2,2,0,1,5,3,1,False,ManchesterUtd_Everton_20241201
Jake O'Brien,15.0,ie IRL,CB,23-200,9,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,ManchesterUtd_Everton_20241201
Ashley Young,18.0,eng ENG,RB,39-145,72,2,1,2,0,0,2,50.0,1,2,0,2,0,2,2,0,False,ManchesterUtd_Everton_20241201
Nathan Patterson,2.0,sct SCO,RB,23-046,18,1,0,0,1,0,1,100.0,0,0,0,0,0,1,0,0,False,ManchesterUtd_Everton_20241201
Jordan Pickford,1.0,eng ENG,GK,30-269,90,1,0,1,0,0,1,100.0,0,0,0,0,0,1,1,0,False,ManchesterUtd_Everton_20241201
Son Heung-min,7.0,kr KOR,"FW,LW",32-146,90,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,True,Tottenham_Fulham_20241201
Timo Werner,16.0,de GER,LW,28-270,67,0,0,0,0,0,2,0.0,2,1,0,1,0,0,1,0,True,Tottenham_Fulham_20241201
Dejan Kulusevski,21.0,se SWE,"FW,RM,LW",24-220,23,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,Tottenham_Fulham_20241201
Brennan Johnson,22.0,wls WAL,RW,23-192,90,2,1,0,1,1,2,50.0,1,0,0,0,0,2,0,0,True,Tottenham_Fulham_20241201
