Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,home,game_id
Igor Jesus,19.0,br BRA,FW,24-180,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,-7413357642109695911
Callum Hudson-Odoi,7.0,eng ENG,"LW,RW",24-290,71,1,1,1,0,0,0,1,0.0,1,0,0,0,1,2,0,0,False,-7413357642109695911
James Mcatee,24.0,eng ENG,"AM,RW",22-310,19,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,False,-7413357642109695911
Dan Ndoye,14.0,ch SUI,"RW,LW",24-303,70,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0,False,-7413357642109695911
Arnaud Kalimuendo,15.0,fr FRA,LW,23-216,20,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,False,-7413357642109695911
Morgan Gibbs-White,10.0,eng ENG,AM,25-209,81,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,1,False,-7413357642109695911
Omari Hutchinson,21.0,eng ENG,RW,21-298,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,-7413357642109695911
Elliot Anderson,8.0,eng ENG,DM,22-291,90,3,1,1,1,1,2,2,100.0,0,2,0,2,0,3,1,0,False,-7413357642109695911
Ibrahim Sangaré,6.0,ci CIV,DM,27-265,87,1,1,0,0,1,0,1,0.0,1,0,0,0,4,5,0,0,False,-7413357642109695911
Ryan Yates,22.0,eng ENG,DM,27-276,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,False,-7413357642109695911
Neco Williams,3.0,wls WAL,LB,24-133,90,3,3,2,1,0,1,1,100.0,0,1,0,1,0,3,0,0,False,-7413357642109695911
Murillo,5.0,br BRA,CB,23-051,90,2,0,1,1,0,1,1,100.0,0,1,0,1,1,3,3,0,False,-7413357642109695911
Nikola Milenković,31.0,rs SRB,CB,27-316,90,1,1,0,1,0,0,0,,0,1,0,1,0,1,6,0,False,-7413357642109695911
Ola Aina,34.0,ng NGA,RB,28-320,90,1,0,0,0,1,0,0,,0,0,0,0,2,3,4,0,False,-7413357642109695911
Matz Sels,26.0,be BEL,GK,33-179,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,-7413357642109695911
Thierno Barry,11.0,fr FRA,FW,22-307,63,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,8345289200052928527
Beto,9.0,gw GNB,FW,27-205,27,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,8345289200052928527
Jack Grealish,18.0,eng ENG,LW,29-348,89,3,3,1,1,1,0,0,,0,1,1,0,0,3,0,0,True,8345289200052928527
Harrison Armstrong,45.0,eng ENG,LW,18-217,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,8345289200052928527
Iliman Ndiaye,10.0,sn SEN,RW,25-171,63,3,1,2,0,1,0,1,0.0,1,1,0,1,1,4,0,0,True,8345289200052928527
Carlos Alcaraz,24.0,ar ARG,"DM,RW",22-267,27,2,0,0,2,0,2,2,100.0,0,0,0,0,0,2,0,0,True,8345289200052928527
Kiernan Dewsbury-Hall,22.0,eng ENG,AM,26-352,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,True,8345289200052928527
Idrissa Gana Gueye,27.0,sn SEN,DM,35-332,90,2,1,1,1,0,0,0,,0,0,0,0,2,4,1,0,True,8345289200052928527
Tim Iroegbunam,42.0,eng ENG,DM,22-055,70,0,0,0,0,0,0,0,,0,3,2,1,3,3,0,0,True,8345289200052928527
Dwight McNeil,7.0,eng ENG,RW,25-275,20,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,8345289200052928527
James Garner,37.0,eng ENG,LB,24-164,90,1,1,0,1,0,1,6,16.7,5,0,0,0,1,2,10,0,True,8345289200052928527
Michael Keane,5.0,eng ENG,CB,32-225,90,2,0,2,0,0,0,1,0.0,1,0,0,0,0,2,11,0,True,8345289200052928527
James Tarkowski,6.0,eng ENG,CB,32-278,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,10,2,True,8345289200052928527
Jake O'Brien,15.0,ie IRL,RB,24-101,90,2,2,1,1,0,2,2,100.0,0,0,0,0,0,2,2,0,True,8345289200052928527
Jordan Pickford,1.0,eng ENG,GK,31-170,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,True,8345289200052928527
Danny Welbeck,18.0,eng ENG,FW,34-271,90,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,False,8345289200052928527
Kaoru Mitoma,22.0,jp JPN,LW,28-096,90,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,0,0,False,8345289200052928527
Yankuba Minteh,11.0,gm GAM,RW,21-033,90,1,0,0,1,0,0,1,0.0,1,2,0,2,2,3,0,0,False,8345289200052928527
Matt O'Riley,33.0,dk DEN,AM,24-276,90,1,1,0,1,0,1,1,100.0,0,1,1,0,0,1,2,0,False,8345289200052928527
Yasin Ayari,26.0,se SWE,DM,21-322,66,3,0,0,1,2,0,2,0.0,2,0,0,0,1,4,0,0,False,8345289200052928527
Diego Gómez,25.0,py PAR,DM,22-150,24,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,3,0,False,8345289200052928527
Carlos Baleba,17.0,cm CMR,DM,21-233,45,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,False,8345289200052928527
Jack Hinshelwood,13.0,eng ENG,DM,20-135,45,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,False,8345289200052928527
Maxim De Cuyper,29.0,be BEL,LB,24-245,66,1,1,0,0,1,0,1,0.0,1,1,0,1,0,1,4,0,False,8345289200052928527
Ferdi Kadioglu,24.0,tr TUR,LB,25-321,24,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,False,8345289200052928527
Lewis Dunk,5.0,eng ENG,CB,33-276,90,2,1,2,0,0,0,0,,0,0,0,0,0,2,6,0,False,8345289200052928527
Jan Paul van Hecke,6.0,nl NED,CB,25-077,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,6,0,False,8345289200052928527
Mats Wieffer,27.0,nl NED,RB,25-281,84,7,3,4,0,3,4,4,100.0,0,2,0,2,1,8,4,0,False,8345289200052928527
Brajan Gruda,8.0,de GER,RB,21-085,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,8345289200052928527
Bart Verbruggen,1.0,nl NED,GK,23-006,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,8345289200052928527
Rodrigo Muniz,9.0,br BRA,FW,24-112,70,1,1,0,1,0,0,0,,0,0,0,0,0,1,2,0,True,2007653530252406730
Raúl Jiménez,7.0,mx MEX,FW,34-111,20,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,True,2007653530252406730
Alex Iwobi,17.0,ng NGA,LW,29-113,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,True,2007653530252406730
Timothy Castagne,21.0,be BEL,RW,29-262,61,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,True,2007653530252406730
Harry Wilson,8.0,wls WAL,RW,28-155,29,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0,True,2007653530252406730
Joshua King,24.0,eng ENG,AM,18-233,70,1,0,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0,True,2007653530252406730
Emile Smith Rowe,32.0,eng ENG,AM,25-027,20,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,2007653530252406730
Sander Berge,16.0,no NOR,DM,27-191,90,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,1,0,True,2007653530252406730
Saša Lukić,20.0,rs SRB,DM,29-011,90,1,1,1,0,0,1,1,100.0,0,0,0,0,2,3,1,0,True,2007653530252406730
Ryan Sessegnon,30.0,eng ENG,LB,25-098,61,2,2,0,1,1,1,1,100.0,0,1,1,0,1,3,0,0,True,2007653530252406730
Antonee Robinson,33.0,us USA,LB,28-016,29,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,True,2007653530252406730
Calvin Bassey,3.0,ng NGA,CB,25-236,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0,True,2007653530252406730
Joachim Andersen,5.0,dk DEN,CB,29-085,90,1,1,1,0,0,1,1,100.0,0,0,0,0,2,3,8,0,True,2007653530252406730
Kenny Tete,2.0,nl NED,RB,29-319,90,3,2,2,1,0,1,1,100.0,0,1,0,1,0,3,1,0,True,2007653530252406730
Bernd Leno,1.0,de GER,GK,33-173,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,2007653530252406730
Matheus Cunha,10.0,br BRA,"FW,AM",26-089,90,1,1,0,1,0,0,0,,0,5,1,4,0,1,0,0,False,2007653530252406730
Mason Mount,7.0,eng ENG,"AM,CM",26-226,68,2,1,1,1,0,2,2,100.0,0,1,0,1,0,2,0,0,False,2007653530252406730
Manuel Ugarte,25.0,uy URU,CM,24-135,22,3,2,3,0,0,2,2,100.0,0,0,0,0,0,3,2,0,False,2007653530252406730
Bryan Mbeumo,19.0,cm CMR,AM,26-017,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,False,2007653530252406730
Bruno Fernandes,8.0,pt POR,CM,30-350,90,2,1,0,2,0,2,2,100.0,0,2,1,1,0,2,2,0,False,2007653530252406730
Casemiro,18.0,br BRA,CM,33-182,52,2,2,0,1,1,1,1,100.0,0,1,1,0,1,3,0,0,False,2007653530252406730
Benjamin Šeško,30.0,si SVN,FW,22-085,38,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,2007653530252406730
Patrick Dorgu,13.0,dk DEN,WB,20-302,90,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,4,0,False,2007653530252406730
Amad Diallo,16.0,ci CIV,WB,23-044,51,2,1,0,2,0,0,0,,0,1,0,1,0,2,3,0,False,2007653530252406730
Diogo Dalot,2.0,pt POR,WB,26-159,39,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,1,1,False,2007653530252406730
Luke Shaw,23.0,eng ENG,CB,30-043,86,1,0,0,1,0,0,0,,0,1,0,1,0,1,4,0,False,2007653530252406730
Harry Maguire,5.0,eng ENG,CB,32-172,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,False,2007653530252406730
Matthijs de Ligt,4.0,nl NED,CB,26-012,90,1,1,1,0,0,1,1,100.0,0,3,2,1,2,3,7,0,False,2007653530252406730
Leny Yoro,15.0,fr FRA,CB,19-284,86,2,2,1,1,0,2,2,100.0,0,0,0,0,1,3,5,0,False,2007653530252406730
Ayden Heaven,26.0,eng ENG,CB,18-336,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,False,2007653530252406730
Altay Bayındır,1.0,tr TUR,GK,27-132,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,2007653530252406730
Anthony Gordon,10.0,eng ENG,FW,24-182,44,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,-6145436157203282083
Harvey Barnes,11.0,eng ENG,LW,27-259,75,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,-6145436157203282083
William Osula,18.0,dk DEN,LW,22-021,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,-6145436157203282083
Anthony Elanga,20.0,se SWE,RW,23-120,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,True,-6145436157203282083
Joelinton,7.0,br BRA,LM,29-011,75,2,0,0,2,0,0,0,,0,0,0,0,1,3,1,0,True,-6145436157203282083
Jacob Ramsey,41.0,eng ENG,LM,24-089,15,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,True,-6145436157203282083
Sandro Tonali,8.0,it ITA,CM,25-109,65,0,0,0,0,0,0,1,0.0,1,3,0,3,1,1,1,0,True,-6145436157203282083
Lewis Miley,67.0,eng ENG,CM,19-116,25,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,True,-6145436157203282083
Bruno Guimarães,39.0,br BRA,RM,27-282,90,3,2,2,1,0,0,2,0.0,2,0,0,0,0,3,0,0,True,-6145436157203282083
Valentino Livramento,21.0,eng ENG,"LB,RB",22-286,90,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0,True,-6145436157203282083
Dan Burn,33.0,eng ENG,CB,33-108,90,1,1,1,0,0,0,0,,0,1,0,1,2,3,9,0,True,-6145436157203282083
Fabian Schär,5.0,ch SUI,CB,33-248,80,3,2,2,0,1,1,1,100.0,0,2,1,1,0,3,4,1,True,-6145436157203282083
Malick Thiaw,12.0,de GER,CB,24-017,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,True,-6145436157203282083
Kieran Trippier,2.0,eng ENG,RB,34-340,75,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,True,-6145436157203282083
Lewis Hall,3.0,eng ENG,LB,20-351,15,1,0,1,0,0,1,1,100.0,0,1,0,1,2,3,2,0,True,-6145436157203282083
Nick Pope,1.0,eng ENG,GK,33-128,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,True,-6145436157203282083
Hugo Ekitike,22.0,fr FRA,FW,23-066,79,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,0,False,-6145436157203282083
Federico Chiesa,14.0,it ITA,FW,27-304,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,False,-6145436157203282083
Cody Gakpo,18.0,nl NED,LW,26-110,89,3,0,2,1,0,2,4,50.0,2,4,0,4,0,3,2,0,False,-6145436157203282083
Rio Ngumoha,73.0,eng ENG,LW,16-361,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,-6145436157203282083
Mohamed Salah,11.0,eg EGY,RW,33-071,89,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,False,-6145436157203282083
Wataru Endo,3.0,jp JPN,DM,32-197,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,-6145436157203282083
Florian Wirtz,7.0,de GER,AM,22-114,79,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,1,1,False,-6145436157203282083
Conor Bradley,12.0,nir NIR,RB,22-047,11,0,0,0,0,0,0,1,0.0,1,2,1,1,0,0,0,0,False,-6145436157203282083
Curtis Jones,17.0,eng ENG,DM,24-207,89,4,2,2,2,0,3,3,100.0,0,0,0,0,0,4,0,0,False,-6145436157203282083
Harvey Elliott,19.0,eng ENG,"RM,RW",22-143,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,-6145436157203282083
Ryan Gravenberch,38.0,nl NED,"DM,CM",23-101,90,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,3,0,False,-6145436157203282083
Milos Kerkez,6.0,hu HUN,LB,21-291,90,2,2,1,1,0,1,1,100.0,0,2,1,1,0,2,6,1,False,-6145436157203282083
Virgil van Dijk,4.0,nl NED,CB,34-048,90,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,14,0,False,-6145436157203282083
Ibrahima Konaté,5.0,fr FRA,CB,26-092,90,1,1,1,0,0,0,1,0.0,1,0,0,0,1,2,5,0,False,-6145436157203282083
Dominik Szoboszlai,8.0,hu HUN,"RB,AM,LM",24-304,90,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,4,0,False,-6145436157203282083
Alisson,1.0,br BRA,GK,32-327,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,False,-6145436157203282083
Liam Delap,9.0,eng ENG,FW,22-203,13,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,True,-4845000589976490912
Tyrique George,32.0,eng ENG,FW,19-207,67,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,-4845000589976490912
Andrey Santos,17.0,br BRA,AM,21-119,10,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,True,-4845000589976490912
Pedro Neto,7.0,pt POR,"LW,RW",25-174,80,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,True,-4845000589976490912
Reece James,24.0,eng ENG,RB,25-265,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,-4845000589976490912
Estêvão Willian,41.0,br BRA,RW,18-128,67,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,True,-4845000589976490912
Jamie Gittens,11.0,eng ENG,LW,21-022,23,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,True,-4845000589976490912
João Pedro,20.0,br BRA,"AM,FW",23-338,90,1,1,1,0,0,1,1,100.0,0,1,1,0,0,1,2,0,True,-4845000589976490912
Enzo Fernández,8.0,ar ARG,DM,24-225,90,0,0,0,0,0,0,1,0.0,1,1,0,1,2,2,1,0,True,-4845000589976490912
Moisés Caicedo,25.0,ec ECU,DM,23-301,90,4,1,1,2,1,2,2,100.0,0,1,1,0,5,9,2,0,True,-4845000589976490912
Marc Cucurella,3.0,es ESP,LB,27-039,90,3,1,3,0,0,2,3,66.7,1,2,0,2,1,4,5,0,True,-4845000589976490912
Tosin Adarabioyo,4.0,eng ENG,CB,27-340,90,2,0,1,1,0,0,0,,0,0,0,0,3,5,6,0,True,-4845000589976490912
Trevoh Chalobah,23.0,eng ENG,CB,26-056,90,5,3,1,4,0,4,4,100.0,0,1,1,0,4,9,1,0,True,-4845000589976490912
Malo Gusto,27.0,fr FRA,"RB,RW",22-103,90,2,1,0,0,2,1,1,100.0,0,0,0,0,2,4,2,0,True,-4845000589976490912
Robert Sánchez,1.0,es ESP,GK,27-285,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,-4845000589976490912
Rodrigo Muniz,9.0,br BRA,FW,24-118,59,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,False,-4845000589976490912
Raúl Jiménez,7.0,mx MEX,FW,34-117,31,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0,False,-4845000589976490912
Alex Iwobi,17.0,ng NGA,LW,29-119,83,3,1,2,1,0,1,2,50.0,1,1,0,1,1,4,0,0,False,-4845000589976490912
Adama Traoré,11.0,es ESP,RW,29-217,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,-4845000589976490912
Timothy Castagne,21.0,be BEL,RW,29-268,59,3,0,2,0,1,2,2,100.0,0,1,0,1,1,4,1,0,False,-4845000589976490912
Harry Wilson,8.0,wls WAL,"RW,AM",28-161,31,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,False,-4845000589976490912
Joshua King,24.0,eng ENG,AM,18-239,66,0,0,0,0,0,0,0,,0,1,1,0,1,1,0,0,False,-4845000589976490912
Emile Smith Rowe,32.0,eng ENG,"AM,LW",25-033,24,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,False,-4845000589976490912
Sander Berge,16.0,no NOR,DM,27-197,90,2,2,1,1,0,1,2,50.0,1,1,1,0,1,3,0,0,False,-4845000589976490912
Saša Lukić,20.0,rs SRB,DM,29-017,90,5,2,2,2,1,0,1,0.0,1,2,2,0,0,5,0,0,False,-4845000589976490912
Ryan Sessegnon,30.0,eng ENG,LB,25-104,66,4,1,1,2,1,2,2,100.0,0,1,1,0,1,5,3,0,False,-4845000589976490912
Antonee Robinson,33.0,us USA,LB,28-022,24,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,False,-4845000589976490912
Calvin Bassey,3.0,ng NGA,CB,25-242,90,2,0,2,0,0,1,5,20.0,4,0,0,0,0,2,2,1,False,-4845000589976490912
Joachim Andersen,5.0,dk DEN,CB,29-091,90,3,2,3,0,0,2,3,66.7,1,0,0,0,0,3,7,0,False,-4845000589976490912
Kenny Tete,2.0,nl NED,RB,29-325,90,4,3,3,1,0,1,1,100.0,0,1,1,0,0,4,6,0,False,-4845000589976490912
Bernd Leno,1.0,de GER,GK,33-179,90,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,False,-4845000589976490912
Richarlison,9.0,br BRA,FW,28-112,90,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,3,0,True,5194952343792548241
Brennan Johnson,22.0,wls WAL,LW,24-099,53,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0,True,5194952343792548241
Wilson Odobert,28.0,fr FRA,"LW,LM",20-275,37,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,True,5194952343792548241
Mohammed Kudus,20.0,gh GHA,"RW,RM",25-028,90,4,2,1,3,0,1,4,25.0,3,1,0,1,0,4,0,0,True,5194952343792548241
Pape Matar Sarr,29.0,sn SEN,LM,22-350,75,0,0,0,0,0,0,0,,0,2,1,1,0,0,3,0,True,5194952343792548241
Mathys Tel,11.0,fr FRA,"FW,LM",20-125,15,3,0,2,1,0,1,1,100.0,0,0,0,0,0,3,0,0,True,5194952343792548241
João Palhinha,6.0,pt POR,CM,30-052,53,2,1,0,1,1,1,1,100.0,0,0,0,0,0,2,2,0,True,5194952343792548241
Lucas Bergvall,15.0,se SWE,"RM,CM",19-209,37,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,True,5194952343792548241
Rodrigo Bentancur,30.0,uy URU,"RM,CM",28-066,90,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,True,5194952343792548241
Djed Spence,24.0,eng ENG,"LB,RB",25-021,90,0,0,0,0,0,0,2,0.0,2,3,1,2,0,0,3,0,True,5194952343792548241
Micky van de Ven,37.0,nl NED,CB,24-133,90,0,0,0,0,0,0,0,,0,4,1,3,2,2,6,0,True,5194952343792548241
Cristian Romero,17.0,ar ARG,CB,27-125,90,2,0,2,0,0,2,2,100.0,0,1,1,0,1,3,3,0,True,5194952343792548241
Pedro Porro,23.0,es ESP,RB,25-351,70,2,2,1,1,0,1,2,50.0,1,2,0,2,1,3,9,0,True,5194952343792548241
Destiny Udogie,13.0,it ITA,LB,22-275,20,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,1,0,True,5194952343792548241
Guglielmo Vicario,1.0,it ITA,GK,28-327,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,True,5194952343792548241
Evanilson,9.0,br BRA,FW,25-328,80,0,0,0,0,0,0,2,0.0,2,1,1,0,0,0,1,0,False,5194952343792548241
Eli Junior Kroupi,22.0,fr FRA,FW,19-068,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,5194952343792548241
Antoine Semenyo,24.0,gh GHA,LW,25-235,90,2,1,0,1,1,1,1,100.0,0,0,0,0,0,2,0,0,False,5194952343792548241
David Brooks,7.0,wls WAL,RW,28-053,63,4,3,2,1,1,3,4,75.0,1,0,0,0,0,4,0,0,False,5194952343792548241
Amine Adli,17.0,ma MAR,RW,25-112,27,4,1,1,1,2,4,4,100.0,0,1,0,1,1,5,1,0,False,5194952343792548241
Marcus Tavernier,16.0,eng ENG,AM,26-161,80,3,0,1,2,0,1,1,100.0,0,0,0,0,0,3,0,0,False,5194952343792548241
Justin Kluivert,19.0,nl NED,AM,26-117,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,5194952343792548241
Alex Scott,8.0,eng ENG,DM,22-009,62,2,1,0,1,1,0,0,,0,1,0,1,0,2,2,0,False,5194952343792548241
Ryan Christie,10.0,sct SCO,DM,30-189,28,4,2,2,2,0,2,4,50.0,2,1,0,1,0,4,2,0,False,5194952343792548241
Tyler Adams,12.0,us USA,DM,26-197,90,2,2,1,1,0,2,3,66.7,1,1,0,1,2,4,1,0,False,5194952343792548241
Adrien Truffert,3.0,fr FRA,LB,23-283,90,5,1,1,4,0,4,6,66.7,2,0,0,0,0,5,5,0,False,5194952343792548241
Marcos Senesi,5.0,ar ARG,CB,28-112,90,2,2,1,1,0,0,0,,0,0,0,0,4,6,8,0,False,5194952343792548241
Bafodé Diakité,18.0,fr FRA,CB,24-236,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,6,0,False,5194952343792548241
Adam Smith,15.0,eng ENG,RB,34-123,25,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,5194952343792548241
James Hill,23.0,eng ENG,RB,23-232,65,0,0,0,0,0,0,2,0.0,2,2,0,2,1,1,4,0,False,5194952343792548241
Đorđe Petrović,1.0,rs SRB,GK,25-326,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,False,5194952343792548241
Eliezer Mayenda,12.0,es ESP,FW,20-114,64,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,-6564654189735547315
Wilson Isidor,18.0,fr FRA,FW,25-003,26,2,0,1,1,0,0,0,,0,0,0,0,0,2,0,0,True,-6564654189735547315
Enzo Le Fée,28.0,fr FRA,"LW,LM",25-208,90,6,3,2,2,2,3,5,60.0,2,2,1,1,0,6,2,0,True,-6564654189735547315
Chemsdine Talbi,7.0,ma MAR,RW,20-113,64,2,1,0,0,2,0,1,0.0,1,0,0,0,0,2,2,0,True,-6564654189735547315
Simon Adingra,24.0,ci CIV,"RW,RM",23-241,26,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,True,-6564654189735547315
Noah Sadiki,27.0,cd COD,"LM,CM",20-256,90,2,1,0,0,2,2,3,66.7,1,0,0,0,0,2,0,0,True,-6564654189735547315
Granit Xhaka,34.0,ch SUI,CM,32-337,90,1,1,0,1,0,0,2,0.0,2,1,0,1,1,2,5,0,True,-6564654189735547315
Habib Diarra,19.0,sn SEN,RM,21-239,86,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,True,-6564654189735547315
Marc Guiu,9.0,es ESP,FW,19-238,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,True,-6564654189735547315
Reinildo Mandava,17.0,mz MOZ,LB,31-221,90,3,1,2,0,1,2,3,66.7,1,0,0,0,2,5,5,0,True,-6564654189735547315
Omar Alderete,15.0,py PAR,CB,28-247,90,2,0,1,1,0,2,2,100.0,0,0,0,0,2,4,7,0,True,-6564654189735547315
Nordi Mukiele,20.0,fr FRA,CB,27-302,90,5,4,1,3,1,3,3,100.0,0,0,0,0,0,5,9,0,True,-6564654189735547315
Trai Hume,32.0,nir NIR,RB,23-165,90,4,2,1,2,1,2,2,100.0,0,1,0,1,1,5,4,0,True,-6564654189735547315
Robin Roefs,22.0,nl NED,GK,22-225,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,-6564654189735547315
Thiago,9.0,br BRA,FW,24-065,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,0,False,-6564654189735547315
Kevin Schade,7.0,de GER,LW,23-276,89,1,0,1,0,0,0,0,,0,1,1,0,0,1,0,0,False,-6564654189735547315
Fabio Carvalho,14.0,pt POR,LW,23-000,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,-6564654189735547315
Dango Ouattara,19.0,bf BFA,RW,23-200,90,0,0,0,0,0,0,1,0.0,1,1,0,1,2,2,2,0,False,-6564654189735547315
Mikkel Damsgaard,24.0,dk DEN,AM,25-058,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,False,-6564654189735547315
Yehor Yarmoliuk,18.0,ua UKR,DM,21-182,90,2,2,0,2,0,0,1,0.0,1,4,1,3,0,2,0,0,False,-6564654189735547315
Jordan Henderson,6.0,eng ENG,DM,35-074,70,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,False,-6564654189735547315
Frank Onyeka,15.0,ng NGA,DM,27-241,20,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,False,-6564654189735547315
Keane Lewis-Potter,23.0,eng ENG,LB,24-189,71,2,2,2,0,0,1,1,100.0,0,0,0,0,0,2,3,0,False,-6564654189735547315
Rico Henry,3.0,eng ENG,LB,28-053,19,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0,False,-6564654189735547315
Sepp van den Berg,4.0,nl NED,CB,23-253,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,11,0,False,-6564654189735547315
